ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1134759,241103-0232,2200 BLOCK N KING ST,Honolulu_PD_HI_7493429,"Honolulu PD, HI",11/03/2024 03:50:23 AM,VANDALISM,M,100,R,"2200 BLOCK N KING ST Honolulu, HI",NA,NA
1134760,241103-0504,1100 BLOCK WAIMANO HOME RD,Honolulu_PD_HI_7493829,"Honolulu PD, HI",11/03/2024 08:53:55 AM,THEFT/LARCENY,M,100,L,"1100 BLOCK WAIMANO HOME RD Honolulu, HI",NA,NA
1134761,241103-0778,700 BLOCK ALA MOANA BLVD,Honolulu_PD_HI_7494247,"Honolulu PD, HI",11/03/2024 01:05:12 PM,THEFT/LARCENY,M,87,R,"700 BLOCK ALA MOANA BLVD Honolulu, HI",NA,NA
1134762,241103-1264,500 BLOCK KAIMAKE LOOP,Honolulu_PD_HI_7495051,"Honolulu PD, HI",11/03/2024 06:43:17 PM,VANDALISM,M,100,R,"500 BLOCK KAIMAKE LOOP Honolulu, HI",21.409191,-157.7507673
1134763,241103-1298,5000 BLOCK BOOMER ST,Honolulu_PD_HI_7495094,"Honolulu PD, HI",11/03/2024 07:05:33 PM,THEFT/LARCENY,M,100,R,"5000 BLOCK BOOMER ST Honolulu, HI",NA,NA
1134781,241103-0981,2000 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7494571,"Honolulu PD, HI",11/03/2024 03:40:02 PM,THEFT/LARCENY,M,100,L,"2000 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1134782,241103-1082,921100 BLOCK ALIINUI DR,Honolulu_PD_HI_7494739,"Honolulu PD, HI",11/03/2024 04:49:47 PM,VANDALISM,M,100,R,"921100 BLOCK ALIINUI DR Honolulu, HI",NA,NA
1134804,241103-0212,1300 BLOCK PUNAHOU ST,Honolulu_PD_HI_7493403,"Honolulu PD, HI",11/03/2024 03:27:05 AM,ASSAULT,M,96,R,"1300 BLOCK PUNAHOU ST Honolulu, HI",NA,NA
1134805,241103-0710,1100 BLOCK AUAHI ST,Honolulu_PD_HI_7494141,"Honolulu PD, HI",11/03/2024 11:47:19 AM,MOTOR VEHICLE THEFT,M,100,L,"1100 BLOCK AUAHI ST Honolulu, HI",NA,NA
1134806,241103-0944,LAKONA ST / WEHELANI ST,Honolulu_PD_HI_7494516,"Honolulu PD, HI",11/03/2024 03:08:30 PM,VEHICLE BREAK-IN/THEFT,U,0,NA,"LAKONA ST / WEHELANI ST Honolulu, HI",NA,NA
1134807,241103-1007,100 BLOCK PAOA PL,Honolulu_PD_HI_7494614,"Honolulu PD, HI",11/03/2024 03:57:24 PM,THEFT/LARCENY,M,100,R,"100 BLOCK PAOA PL Honolulu, HI",NA,NA
1134808,241103-1491,450700 BLOCK KAM HWY,Honolulu_PD_HI_7495418,"Honolulu PD, HI",11/03/2024 09:29:29 PM,ASSAULT,M,100,R,"450700 BLOCK KAM HWY Honolulu, HI",NA,NA
1134827,241103-0691,2300 BLOCK OWENE LN,Honolulu_PD_HI_7494104,"Honolulu PD, HI",11/03/2024 11:25:43 AM,THEFT/LARCENY,M,100,R,"2300 BLOCK OWENE LN Honolulu, HI",NA,NA
1134828,241103-0996,890200 BLOCK MANO AVE,Honolulu_PD_HI_7494602,"Honolulu PD, HI",11/03/2024 03:52:45 PM,THEFT/LARCENY,M,100,L,"890200 BLOCK MANO AVE Honolulu, HI",NA,NA
1134829,241103-1050,400 BLOCK SEASIDE AVE,Honolulu_PD_HI_7494685,"Honolulu PD, HI",11/03/2024 04:26:38 PM,THEFT/LARCENY,M,100,L,"400 BLOCK SEASIDE AVE Honolulu, HI",21.2792647,-157.8280319
1134851,241103-0484,981200 BLOCK KAAHUMANU ST,Honolulu_PD_HI_7493795,"Honolulu PD, HI",11/03/2024 08:41:23 AM,THEFT/LARCENY,M,79,L,"981200 BLOCK KAAHUMANU ST Honolulu, HI",NA,NA
1134852,241103-0573,900 BLOCK RIVER ST,Honolulu_PD_HI_7493924,"Honolulu PD, HI",11/03/2024 09:39:54 AM,THEFT/LARCENY,M,100,R,"900 BLOCK RIVER ST Honolulu, HI",NA,NA
