ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1139029,241110-0110,2500 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7515482,"Honolulu PD, HI",11/10/2024 01:18:52 AM,THEFT/LARCENY,M,100,L,"2500 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1139030,241110-0134,1000 BLOCK BISHOP ST,Honolulu_PD_HI_7515525,"Honolulu PD, HI",11/10/2024 01:38:12 AM,VANDALISM,M,100,L,"1000 BLOCK BISHOP ST Honolulu, HI",NA,NA
1139031,241110-0814,1400 BLOCK ALA MOANA BLVD,Honolulu_PD_HI_7516686,"Honolulu PD, HI",11/10/2024 12:31:37 PM,THEFT/LARCENY,M,87,L,"1400 BLOCK ALA MOANA BLVD Honolulu, HI",NA,NA
1139032,241110-0988,850700 BLOCK WAIANAE VALLEY RD,Honolulu_PD_HI_7516993,"Honolulu PD, HI",11/10/2024 02:31:09 PM,ROBBERY,M,100,R,"850700 BLOCK WAIANAE VALLEY RD Honolulu, HI",NA,NA
1139033,241110-1056,850800 BLOCK FARRINGTON HWY,Honolulu_PD_HI_7517104,"Honolulu PD, HI",11/10/2024 03:13:38 PM,THEFT/LARCENY,M,100,L,"850800 BLOCK FARRINGTON HWY Honolulu, HI",NA,NA
1139052,241110-0171,FARRINGTON HWY / MAKAKILO DR,Honolulu_PD_HI_7515581,"Honolulu PD, HI",11/10/2024 02:11:10 AM,DUI,U,0,NA,"FARRINGTON HWY / MAKAKILO DR Honolulu, HI",21.3407659,-158.0763555
1139053,241110-0657,1200 BLOCK S KING ST,Honolulu_PD_HI_7516394,"Honolulu PD, HI",11/10/2024 10:25:04 AM,THEFT/LARCENY,M,100,L,"1200 BLOCK S KING ST Honolulu, HI",NA,NA
1139054,241110-0847,1200 BLOCK ELM ST,Honolulu_PD_HI_7516726,"Honolulu PD, HI",11/10/2024 12:49:16 PM,VANDALISM,M,100,R,"1200 BLOCK ELM ST Honolulu, HI",NA,NA
1139055,241110-1258,941000 BLOCK HALEULULAAU DR,Honolulu_PD_HI_7517462,"Honolulu PD, HI",11/10/2024 05:37:51 PM,THEFT/LARCENY,M,87,R,"941000 BLOCK HALEULULAAU DR Honolulu, HI",NA,NA
1139056,241110-1383,2200 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7517653,"Honolulu PD, HI",11/10/2024 06:54:15 PM,THEFT/LARCENY,M,100,R,"2200 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1139057,241110-1423,2300 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7517728,"Honolulu PD, HI",11/10/2024 07:21:32 PM,THEFT/LARCENY,M,100,L,"2300 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1139058,241110-1548,921100 BLOCK ALIINUI DR,Honolulu_PD_HI_7517921,"Honolulu PD, HI",11/10/2024 08:52:01 PM,THEFT/LARCENY,M,100,R,"921100 BLOCK ALIINUI DR Honolulu, HI",NA,NA
1139075,241110-0201,100 BLOCK SHOWER PL,Honolulu_PD_HI_7515621,"Honolulu PD, HI",11/10/2024 02:46:36 AM,VANDALISM,M,100,L,"100 BLOCK SHOWER PL Honolulu, HI",NA,NA
1139076,241110-0825,800 BLOCK S BERETANIA ST,Honolulu_PD_HI_7516704,"Honolulu PD, HI",11/10/2024 12:40:33 PM,THEFT/LARCENY,M,100,R,"800 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1139077,241110-0878,4200 BLOCK WAIALAE AVE,Honolulu_PD_HI_7516804,"Honolulu PD, HI",11/10/2024 01:13:21 PM,VANDALISM,M,100,L,"4200 BLOCK WAIALAE AVE Honolulu, HI",NA,NA
1139078,241110-0970,000 BLOCK KAAPUNI DR,Honolulu_PD_HI_7516958,"Honolulu PD, HI",11/10/2024 02:21:24 PM,ASSAULT,M,100,R,"000 BLOCK KAAPUNI DR Honolulu, HI",NA,NA
1139098,241109-1836,981000 BLOCK MOANALUA RD,Honolulu_PD_HI_7515284,"Honolulu PD, HI",11/09/2024 11:40:31 PM,VANDALISM,M,100,R,"981000 BLOCK MOANALUA RD Honolulu, HI",NA,NA
1139099,241110-0323,410200 BLOCK HULI ST,Honolulu_PD_HI_7515820,"Honolulu PD, HI",11/10/2024 05:50:07 AM,VEHICLE BREAK-IN/THEFT,M,100,L,"410200 BLOCK HULI ST Honolulu, HI",NA,NA
1139101,241110-1208,940300 BLOCK IUPIKA PL,Honolulu_PD_HI_7517374,"Honolulu PD, HI",11/10/2024 05:02:14 PM,THEFT/LARCENY,M,100,R,"940300 BLOCK IUPIKA PL Honolulu, HI",NA,NA
1139135,241110-0406,940900 BLOCK FARRINGTON HWY,Honolulu_PD_HI_7515938,"Honolulu PD, HI",11/10/2024 07:16:57 AM,THEFT/LARCENY,M,100,R,"940900 BLOCK FARRINGTON HWY Honolulu, HI",NA,NA
1139136,241110-0784,1000 BLOCK S KING ST,Honolulu_PD_HI_7516638,"Honolulu PD, HI",11/10/2024 12:06:02 PM,THEFT/LARCENY,M,100,L,"1000 BLOCK S KING ST Honolulu, HI",NA,NA
1139311,241117-0299,2300 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7537706,"Honolulu PD, HI",11/17/2024 05:50:19 AM,MOTOR VEHICLE THEFT,M,100,L,"2300 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1139312,241110-0377,890200 BLOCK PUA AVE,Honolulu_PD_HI_7515897,"Honolulu PD, HI",11/10/2024 06:49:26 AM,VANDALISM,M,100,R,"890200 BLOCK PUA AVE Honolulu, HI",NA,NA
1139313,241110-0585,400 BLOCK KUWILI ST,Honolulu_PD_HI_7516244,"Honolulu PD, HI",11/10/2024 09:29:14 AM,ASSAULT,M,100,L,"400 BLOCK KUWILI ST Honolulu, HI",21.3170031,-157.8673252
1139314,241110-1518,800 BLOCK MIDDLE ST,Honolulu_PD_HI_7517867,"Honolulu PD, HI",11/10/2024 08:26:09 PM,THEFT/LARCENY,M,100,R,"800 BLOCK MIDDLE ST Honolulu, HI",NA,NA
1139315,241110-1615,600 BLOCK KUMUKAHI PL,Honolulu_PD_HI_7518035,"Honolulu PD, HI",11/10/2024 09:46:17 PM,ASSAULT,M,100,L,"600 BLOCK KUMUKAHI PL Honolulu, HI",NA,NA
1139342,241110-1509,400 BLOCK KEONIANA ST,Honolulu_PD_HI_7517849,"Honolulu PD, HI",11/10/2024 08:12:17 PM,MOTOR VEHICLE THEFT,M,100,L,"400 BLOCK KEONIANA ST Honolulu, HI",21.2855592,-157.8317481
1139361,241110-0207,1100 BLOCK QUEEN ST,Honolulu_PD_HI_7515640,"Honolulu PD, HI",11/10/2024 03:04:07 AM,VEHICLE BREAK-IN/THEFT,M,100,R,"1100 BLOCK QUEEN ST Honolulu, HI",NA,NA
1139362,241110-1081,940500 BLOCK KUPUOHI ST,Honolulu_PD_HI_7517137,"Honolulu PD, HI",11/10/2024 03:27:16 PM,THEFT/LARCENY,M,100,R,"940500 BLOCK KUPUOHI ST Honolulu, HI",NA,NA
1139363,241110-1148,980100 BLOCK KAONOHI ST,Honolulu_PD_HI_7517271,"Honolulu PD, HI",11/10/2024 04:19:26 PM,THEFT/LARCENY,M,100,R,"980100 BLOCK KAONOHI ST Honolulu, HI",NA,NA
1139364,241110-1242,2000 BLOCK WILDER AVE,Honolulu_PD_HI_7517435,"Honolulu PD, HI",11/10/2024 05:21:40 PM,THEFT/LARCENY,M,100,L,"2000 BLOCK WILDER AVE Honolulu, HI",NA,NA
1139381,241110-0166,1000 BLOCK AUAHI ST,Honolulu_PD_HI_7515571,"Honolulu PD, HI",11/10/2024 02:05:23 AM,DISTURBING THE PEACE,M,100,L,"1000 BLOCK AUAHI ST Honolulu, HI",NA,NA
1139382,241110-0849,000 BLOCK S KAM HWY,Honolulu_PD_HI_7516739,"Honolulu PD, HI",11/10/2024 12:51:41 PM,SEX CRIMES,M,100,R,"000 BLOCK S KAM HWY Honolulu, HI",NA,NA
1139422,241110-0999,3800 BLOCK TANTALUS DR,Honolulu_PD_HI_7517017,"Honolulu PD, HI",11/10/2024 02:37:10 PM,VANDALISM,M,100,R,"3800 BLOCK TANTALUS DR Honolulu, HI",NA,NA
